cat,word/character,pronunciation,definition,code,alt
60,然,rán,"right, correct, so, like that",t,
61,没,méi,"(=没有 méiyǒu) haven't, there isn't",s,
61,沒,méi,"(=没有 méiyǒu) haven't, there isn't",t,
61,没,mò,"sink, overflow, disappear, confiscate",s,
61,沒,mò,"sink, overflow, disappear, confiscate",t,
62,日,rì,"sun, (=日子 rìzi) day",s,
62,日,rì,"sun, (=日子 rìzi) day",t,
63,於,yú,in,t,
63,于,yú,"<family name>, (F 於) in, at, for, to, from, by, than{Compare with 千 qiān thousand and 干 gān stem}",s,
63,于,yú,"<family name>, at, for, to, from, by, than{Compare with 千 qiān thousand and 干 gān stem}",t,
64,起,qǐ,"rise, start",s,
64,起,qǐ,"rise, start",t,
64,起,qi,(when used as a verb complement),s,
64,起,qi,(when used as a verb complement),t,
65,还,hái,"still, yet",s,
65,還,hái,"still, yet",t,
65,还,huán,"return, give back",s,
65,還,huán,"return, give back",t,
66,發,fā,deliver,t,
66,发,fā,"(F 發) deliver, utter, express, shoot, emit, develop, expand",s,
66,发,fā,"(F 發) deliver, utter, express, shoot, emit, develop, expand",t,
66,髮,fà,hair,t,
66,发,fà,(F 髮) hair,s,
66,发,fà,(F 髮) hair,t,
66,髮,fa,头发 tóufa hair,t,
67,成,chéng,"(=成为 chéngwéi, =变成 biànchéng) become, <family name>",s,
67,成,chéng,"(=成为 chéngwéi, =变成 biànchéng) become, <family name>",t,
68,事,shì,"matter, affair, thing, event, accident, job, responsibility",s,
68,事,shì,"matter, affair, thing, event, accident, job, responsibility",t,
69,只,zhǐ,"only, just, merely, <classifier implying ""one of a pair"", animals, vessels, utensils, etc.>",s,
69,祇,zhǐ,"only, just, merely, <classifier implying ""one of a pair"", animals, vessels, utensils, etc.>",t,
69,隻,zhī,single,t,
70,作,zuò,"do, make",s,
70,作,zuò,"do, make",t,
70,作,zuō,do,s,
70,作,zuō,do,t,
71,當,dāng,serve as,t,
71,噹,dāng,ding-dong,t,
71,当,dāng,"(F 當) serve as, (F 噹) ding-dong",s,
71,当,dāng,(F 當) serve as,t,
71,當,dàng,proper,t,
72,想,xiǎng,"think, feel, consider, want, remember",s,
72,想,xiǎng,"think, feel, consider, want, remember",t,
73,看,kàn,"see, look at, read, think, consider",s,
73,看,kàn,"see, look at, read, think, consider",t,
73,看,kān,"look after, tend",s,
73,看,kān,"look after, tend",t,
74,文,wén,"language, literature, <family name>",s,
74,文,wén,"language, literature, <family name>",t,
75,无,wú,"without, nothingness, have not",s,
75,無,wú,"without, nothingness, have not",t,
76,开,kāi,open,s,
76,開,kāi,open,t,
76,开,kai,(when used as a verb complement){Compare with 并 bìng combine},s,
76,開,kai,(when used as a verb complement){Compare with 并 bìng combine},t,
77,手,shǒu,"hand, a person skilled in something",s,
77,手,shǒu,"hand, a person skilled in something",t,
78,十,shí,ten,s,拾
78,十,shí,ten,t,拾
79,用,yòng,use,s,
79,用,yòng,use,t,
80,主,zhǔ,"lord, master, host, god, (=主要 zhǔyào) main, primary",s,
80,主,zhǔ,"lord, master, host, god, (=主要 zhǔyào) main, primary",t,
81,行,xíng,"go, OK",s,
81,行,xíng,"go, OK",t,
81,行,háng,line,s,
81,行,háng,line,t,
81,行,héng,(phonetic radical),s,
81,行,héng,(phonetic radical),t,
82,方,fāng,"side, square",s,
82,方,fāng,"side, square",t,
83,又,yòu,"again, both... and...",s,
83,又,yòu,"again, both... and...",t,
84,如,rú,"like, as, as if, (=如果 rúguǒ) if",s,
84,如,rú,"like, as, as if, (=如果 rúguǒ) if",t,
85,前,qián,"in front, previous, ago, former, first",s,
85,前,qián,"in front, previous, ago, former, first",t,
86,所,suǒ,place,s,
86,所,suǒ,place,t,
87,本,běn,"basis, origin, edition, <classifier for books, periodicals, files, etc.>",s,
87,本,běn,"basis, origin, edition, <classifier for books, periodicals, files, etc.>",t,
88,见,jiàn,"appear to be, meet with, call on, (=看见 kànjian) see",s,
88,見,jiàn,"appear to be, meet with, call on, (=看见 kànjian) see",t,
88,见,xiàn,"show, appear, become visible{Compare with 贝 bèi shellfish}",s,
88,見,xiàn,"show, appear, become visible{Compare with 贝 bèi shellfish}",t,
89,经,jīng,"longitude (both geographic and in Chinese medecin), scripture, constant, regular, <family name>, deal with, (=经纪 jīngjì)manage (a business)",s,
89,經,jīng,"longitude (both geographic and in Chinese medecin), scripture, constant, regular, <family name>, deal with, (=经纪 jīngjì)manage (a business)",t,
89,经,jīng,,s,
89,經,jīng,,t,
90,头,tóu,"head, top, first, <classifier for livestock, garlic, etc.>",s,
90,頭,tóu,"head, top, first, <classifier for livestock, garlic, etc.>",t,
91,麵,miàn,wheat flour,t,
91,面,miàn,"face, surface, <classifier for mirrors, flags, etc.>, (F 麵) wheat flour, (=面条 miàntiáo) noodle",s,
91,面,miàn,"face, surface, <classifier for mirrors, flags, etc.>, (=面条 miàntiáo) noodle",t,
92,公,gōng,"public, official",s,
92,公,gōng,"public, official",t,
93,同,tóng,"same, with",s,
93,同,tóng,"same, with",t,
93,衕,tòng,胡同 hútòng lane,t,
94,三,sān,three,s,叁
94,三,sān,three,t,叁
95,已,yǐ,"stop, cease, end, (=已经 yǐjīng) already{Compare with 己 jǐ self, which is ""open"" on the left side}",s,
95,已,yǐ,"stop, cease, end, (=已经 yǐjīng) already{Compare with 己 jǐ self, which is ""open"" on the left side}",t,
96,老,lǎo,"old, venerable, outdated",s,
96,老,lǎo,"old, venerable, outdated",t,
97,从,cóng,"from, through, join, follower, secondary",s,
97,從,cóng,"from, through, join, follower, secondary",t,
98,动,dòng,"move, change, arouce",s,
98,動,dòng,"move, change, arouce",t,
99,两,liǎng,"two (before classifier), 50 grams",s,
99,兩,liǎng,"two (before classifier), 50 grams",t,
100,长,cháng,"long, lasting, length",s,
100,長,cháng,"long, lasting, length",t,
100,长,zhǎng,"grow up, chief, head, older, elder",s,
100,長,zhǎng,"grow up, chief, head, older, elder",t,
101,知,zhī,"realize, sense, inform, tell, (=知道 zhīdào) know",s,
101,知,zhī,"realize, sense, inform, tell, (=知道 zhīdào) know",t,
102,民,mín,"(=人民 rénmín) people, <family name>",s,
102,民,mín,"(=人民 rénmín) people, <family name>",t,
103,样,yàng,"appearance, shape, form, manner",s,
103,樣,yàng,"appearance, shape, form, manner",t,
104,现,xiàn,"show, appear, current",s,
104,現,xiàn,"show, appear, current",t,
105,分,fēn,"divide, fraction, minute, cent",s,
105,分,fēn,"divide, fraction, minute, cent",t,
105,分,fèn,limits of rights or duty,s,
105,分,fèn,limits of rights or duty,t,
106,将,jiāng,shall,s,
106,將,jiāng,shall,t,
107,外,wài,"outside, outer, other, foreign, beyond, relative on ones mother's/sisters/wife's side",s,
107,外,wài,"outside, outer, other, foreign, beyond, relative on ones mother's/sisters/wife's side",t,
108,但,dàn,"(=但是 dànshì) but, still, nevertheless, however, yet",s,
108,但,dàn,"(=但是 dànshì) but, still, nevertheless, however, yet",t,
109,身,shēn,"life, incarnation, <classifier for suits of clothing>, (=身体 shēntǐ) body",s,
109,身,shēn,"life, incarnation, <classifier for suits of clothing>, (=身体 shēntǐ) body",t,
110,些,xiē,"some, <classifier for plural or indefinite/small amount>",s,
110,些,xiē,"some, <classifier for plural or indefinite/small amount>",t,
111,与,yǔ,"give, offer, help, support, and",s,
111,與,yǔ,"give, offer, help, support, and",t,
112,高,gāo,"high, tall, loud, <polite> your, <family name>",s,
112,高,gāo,"high, tall, loud, <polite> your, <family name>",t,
113,意,yì,"(=意思 yìsi, =意义 yìyì) meaning, idea, (=愿意 yuànyi) wish, desire",s,
113,意,yì,"(=意思 yìsi, =意义 yìyì) meaning, idea, (=愿意 yuànyi) wish, desire",t,
114,进,jìn,"enter, go forward, receive, drink, eat, submit",s,
114,進,jìn,"enter, go forward, receive, drink, eat, submit",t,
115,把,bǎ,"grasp, hold, handle, <classifier for things with handles, handfuls, chairs, etc.>",s,
115,把,bǎ,"grasp, hold, handle, <classifier for things with handles, handfuls, chairs, etc.>",t,
116,法,fǎ,"(=法律 fǎlǜ) law, (=办法 bànfǎ) method",s,
116,法,fǎ,"(=法律 fǎlǜ) law, (=办法 bànfǎ) method",t,
117,此,cǐ,this,s,
117,此,cǐ,this,t,
118,实,shí,"solid, true, real",s,
118,實,shí,"solid, true, real",t,
119,回,huí,"circle, return, reply, turns, times, chapter, Muslim, Hui (ethnic minority), <classifier for chapters, times, etc.>",s,
119,回,huí,"circle, return, reply, turns, times, chapter, Muslim, Hui (ethnic minority), <classifier for chapters, times, etc.>",t,
120,二,èr,two,s,贰
120,二,èr,two,t,贰
121,理,lǐ,principle,s,
121,理,lǐ,principle,t,
122,美,měi,"(=美丽 meilì) beautiful, (=好 hǎo) good, (=美德 měidé) virtue, <family name>",s,
122,美,měi,"(=美丽 meilì) beautiful, (=好 hǎo) good, (=美德 měidé) virtue, <family name>",t,
